id,name,character,amiiboSeries,gameSeries,type
1,Metal Mario - Tennis,Metal Mario,Mario Sports Superstars,Mario Sports Superstars,Card
2,Super Mario Cereal,Mario Cereal,Others,Kellogs,Card
3,Baby Mario - Soccer,Baby Mario,Mario Sports Superstars,Mario Sports Superstars,Card
4,Metal Mario - Soccer,Metal Mario,Mario Sports Superstars,Mario Sports Superstars,Card
5,Mario - Soccer,Mario,Mario Sports Superstars,Mario Sports Superstars,Card
6,Mario,Mario,Super Mario Bros.,Super Mario,Figure
7,8-Bit Mario Modern Color,Mario,8-bit Mario,Super Mario,Figure
8,Dr. Mario,Mario,Super Smash Bros.,Super Mario,Figure
9,Baby Mario - Horse Racing,Baby Mario,Mario Sports Superstars,Mario Sports Superstars,Card
10,Mario - Cat,Mario,Super Mario Bros.,Super Mario,Figure
11,Baby Mario - Golf,Baby Mario,Mario Sports Superstars,Mario Sports Superstars,Card
12,Mario - Wedding,Mario,Super Mario Bros.,Super Mario,Figure
13,Metal Mario - Golf,Metal Mario,Mario Sports Superstars,Mario Sports Superstars,Card
14,Mario,Mario,Super Smash Bros.,Super Mario,Figure
15,Mario - Tennis,Mario,Mario Sports Superstars,Mario Sports Superstars,Card
16,Baby Mario - Tennis,Baby Mario,Mario Sports Superstars,Mario Sports Superstars,Card
17,Mario - Gold Edition,Mario,Super Mario Bros.,Super Mario,Figure
18,Mario - Power Up Band,Mario,Super Nintendo World,Super Mario,Band
19,Metal Mario - Horse Racing,Metal Mario,Mario Sports Superstars,Mario Sports Superstars,Card
20,Baby Mario - Baseball,Baby Mario,Mario Sports Superstars,Mario Sports Superstars,Card
21,Mario - Golf,Mario,Mario Sports Superstars,Mario Sports Superstars,Card
22,Mario - Silver Edition,Mario,Super Mario Bros.,Super Mario,Figure
23,Mario - Horse Racing,Mario,Mario Sports Superstars,Mario Sports Superstars,Card
24,8-Bit Mario Classic Color,Mario,8-bit Mario,Super Mario,Figure
25,Metal Mario - Baseball,Metal Mario,Mario Sports Superstars,Mario Sports Superstars,Card
26,Mario - Baseball,Mario,Mario Sports Superstars,Mario Sports Superstars,Card
27,Metal Mario - Tennis,Metal Mario,Mario Sports Superstars,Mario Sports Superstars,Card
28,Super Mario Cereal,Mario Cereal,Others,Kellogs,Card
29,Baby Mario - Soccer,Baby Mario,Mario Sports Superstars,Mario Sports Superstars,Card
30,Metal Mario - Soccer,Metal Mario,Mario Sports Superstars,Mario Sports Superstars,Card
31,Mario - Soccer,Mario,Mario Sports Superstars,Mario Sports Superstars,Card
32,Mario,Mario,Super Mario Bros.,Super Mario,Figure
33,8-Bit Mario Modern Color,Mario,8-bit Mario,Super Mario,Figure
34,Dr. Mario,Mario,Super Smash Bros.,Super Mario,Figure
35,Baby Mario - Horse Racing,Baby Mario,Mario Sports Superstars,Mario Sports Superstars,Card
36,Mario - Cat,Mario,Super Mario Bros.,Super Mario,Figure
37,Baby Mario - Golf,Baby Mario,Mario Sports Superstars,Mario Sports Superstars,Card
38,Mario - Wedding,Mario,Super Mario Bros.,Super Mario,Figure
39,Metal Mario - Golf,Metal Mario,Mario Sports Superstars,Mario Sports Superstars,Card
40,Mario,Mario,Super Smash Bros.,Super Mario,Figure
41,Mario - Tennis,Mario,Mario Sports Superstars,Mario Sports Superstars,Card
42,Baby Mario - Tennis,Baby Mario,Mario Sports Superstars,Mario Sports Superstars,Card
43,Mario - Gold Edition,Mario,Super Mario Bros.,Super Mario,Figure
44,Mario - Power Up Band,Mario,Super Nintendo World,Super Mario,Band
45,Metal Mario - Horse Racing,Metal Mario,Mario Sports Superstars,Mario Sports Superstars,Card
46,Baby Mario - Baseball,Baby Mario,Mario Sports Superstars,Mario Sports Superstars,Card
47,Mario - Golf,Mario,Mario Sports Superstars,Mario Sports Superstars,Card
48,Mario - Silver Edition,Mario,Super Mario Bros.,Super Mario,Figure
49,Mario - Horse Racing,Mario,Mario Sports Superstars,Mario Sports Superstars,Card
50,8-Bit Mario Classic Color,Mario,8-bit Mario,Super Mario,Figure
51,Metal Mario - Baseball,Metal Mario,Mario Sports Superstars,Mario Sports Superstars,Card
52,Mario - Baseball,Mario,Mario Sports Superstars,Mario Sports Superstars,Card
53,Metal Mario - Tennis,Metal Mario,Mario Sports Superstars,Mario Sports Superstars,Card
54,Super Mario Cereal,Mario Cereal,Others,Kellogs,Card
55,Baby Mario - Soccer,Baby Mario,Mario Sports Superstars,Mario Sports Superstars,Card
56,Metal Mario - Soccer,Metal Mario,Mario Sports Superstars,Mario Sports Superstars,Card
57,Mario - Soccer,Mario,Mario Sports Superstars,Mario Sports Superstars,Card
58,Mario,Mario,Super Mario Bros.,Super Mario,Figure
59,8-Bit Mario Modern Color,Mario,8-bit Mario,Super Mario,Figure
60,Dr. Mario,Mario,Super Smash Bros.,Super Mario,Figure
61,Baby Mario - Horse Racing,Baby Mario,Mario Sports Superstars,Mario Sports Superstars,Card
62,Mario - Cat,Mario,Super Mario Bros.,Super Mario,Figure
63,Baby Mario - Golf,Baby Mario,Mario Sports Superstars,Mario Sports Superstars,Card
64,Mario - Wedding,Mario,Super Mario Bros.,Super Mario,Figure
65,Metal Mario - Golf,Metal Mario,Mario Sports Superstars,Mario Sports Superstars,Card
66,Mario,Mario,Super Smash Bros.,Super Mario,Figure
67,Mario - Tennis,Mario,Mario Sports Superstars,Mario Sports Superstars,Card
68,Baby Mario - Tennis,Baby Mario,Mario Sports Superstars,Mario Sports Superstars,Card
69,Mario - Gold Edition,Mario,Super Mario Bros.,Super Mario,Figure
70,Mario - Power Up Band,Mario,Super Nintendo World,Super Mario,Band
71,Metal Mario - Horse Racing,Metal Mario,Mario Sports Superstars,Mario Sports Superstars,Card
72,Baby Mario - Baseball,Baby Mario,Mario Sports Superstars,Mario Sports Superstars,Card
73,Mario - Golf,Mario,Mario Sports Superstars,Mario Sports Superstars,Card
74,Mario - Silver Edition,Mario,Super Mario Bros.,Super Mario,Figure
75,Mario - Horse Racing,Mario,Mario Sports Superstars,Mario Sports Superstars,Card
76,8-Bit Mario Classic Color,Mario,8-bit Mario,Super Mario,Figure
77,Metal Mario - Baseball,Metal Mario,Mario Sports Superstars,Mario Sports Superstars,Card
78,Mario - Baseball,Mario,Mario Sports Superstars,Mario Sports Superstars,Card
